library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,23002.40
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12662.00
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12317.67
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12544.06
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12341.14
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12256.57
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12258.46
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12509.49
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12372.89
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12136.69
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12252.50
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12240.29
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12091.90
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,11962.87
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12244.50
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12125.12
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12088.75
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12037.17
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12236.99
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12120.45
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12119.83
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12061.52
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,11840.14
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,11990.94
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12363.13
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12179.68
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12235.73
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,11903.98
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12159.58
spark,amazon0601.mtx,403394,2443408,8,403387.0,403387,12247.05
