library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,199629.36
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,164846.33
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,164565.25
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,155173.39
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,158898.57
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,155654.35
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,152845.41
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,156053.90
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,159579.14
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,154190.59
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,155913.87
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,154811.26
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,155806.17
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,157561.68
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,151961.56
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,156624.09
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,151405.28
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,155023.82
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,150855.61
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,152709.59
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,153170.73
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,150583.02
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,157777.84
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,155485.69
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,154037.54
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,155247.53
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,153416.65
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,151389.32
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,159816.45
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,149748.62
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,210996.32
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,162730.79
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,160548.25
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,159234.37
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,160990.86
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,170042.32
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,161872.87
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,167847.59
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,163675.55
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,161340.72
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,169195.56
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,154699.68
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,164654.59
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,159294.96
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,161206.23
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,166400.02
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,165903.30
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,157059.47
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,162414.14
spark,cit-Patents.mtx,3774768,16518947,8,3771141.0,3771141,164400.23
