library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,15701.44
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,9536.75
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,9286.07
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8977.56
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8921.76
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8965.88
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8881.01
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8878.01
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8993.89
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8871.96
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8990.76
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8716.06
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8895.30
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8930.25
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8721.21
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8747.39
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8784.95
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8868.80
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8881.09
spark,citationCiteseer.mtx,268495,1156647,8,268494.0,268494,8582.22
