library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2458.953000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2466.507000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2455.886000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2460.058000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2453.180000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2459.756000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2454.980000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2459.063000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2460.854000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2438.324000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2453.772000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2459.245000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2419.723000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2457.192000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2427.816000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2432.053000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2434.511000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2430.099000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2448.677000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2434.013000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2447.153000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2445.542000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2449.042000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2459.072000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2444.255000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2434.178000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2447.506000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2458.905000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2458.490000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,2443.835000
