library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119664.914000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119367.737000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119135.591000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119411.365000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119007.244000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119267.695000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119068.577000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119308.855000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119144.457000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119356.063000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119483.928000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119175.833000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119225.837000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119366.153000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119300.800000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,118956.567000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119630.286000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119499.080000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119293.226000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119253.711000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,120096.347000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,118921.970000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119261.209000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119802.989000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119370.584000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119037.665000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119309.997000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119008.150000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119615.657000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,119534.649000
