library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3954.227000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3915.292000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3884.627000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3896.637000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3907.251000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3898.473000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3960.406000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3905.716000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3892.290000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3897.738000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3891.441000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3912.336000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3919.396000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3900.679000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3887.065000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3889.301000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3887.777000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3907.287000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3936.654000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3908.787000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3929.863000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3928.133000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3905.743000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3915.278000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3892.421000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3900.838000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3918.970000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3920.891000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3903.197000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,3920.491000
