library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,17002.486000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16970.903000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16859.552000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16797.918000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16820.965000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16784.502000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16749.435000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16886.847000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16808.364000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16744.797000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16839.294000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16836.043000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16702.199000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16767.869000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16771.129000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16730.935000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16696.906000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16832.174000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16808.759000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16943.690000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16758.063000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16752.986000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16796.522000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16766.966000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16825.238000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16902.848000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16801.682000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16703.705000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16792.614000
spla,coPapersDBLP.mtx,540486,30491458,1,540525,540525,16797.433000
