library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,20011.003000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,20073.572000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19954.791000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19965.871000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19854.204000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19898.739000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19892.222000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19826.035000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19978.315000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19966.562000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19852.987000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19836.463000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19851.179000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19890.436000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19944.245000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19927.970000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19897.514000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19824.178000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19977.875000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,19976.650000
