library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1421.361000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1426.326000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1419.809000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1393.158000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1394.616000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1398.664000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1400.325000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1417.966000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1423.451000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1420.821000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1434.989000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1412.598000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1411.269000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1462.283000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1442.859000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1404.342000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1452.407000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1424.885000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1406.352000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1416.621000
