library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,38149.796000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37786.007000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37375.934000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37605.834000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37473.061000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37595.969000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37476.746000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37585.744000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37618.375000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37421.653000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37481.281000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37836.760000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37866.610000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37702.744000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37681.219000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37321.856000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37343.199000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37581.382000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37492.951000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37408.722000
