library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1361.831000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1355.691000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1357.997000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1360.525000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1354.742000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1356.114000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1360.228000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1357.412000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1381.522000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1374.006000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1358.584000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1356.958000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1358.155000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1356.367000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1352.339000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1358.472000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1355.277000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1356.478000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1359.040000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1362.544000
