library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20258.897000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20610.323000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20307.050000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20343.140000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20192.167000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20293.403000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20217.599000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20218.372000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20341.864000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20208.631000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20322.417000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20325.855000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20337.236000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20300.202000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20290.247000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20262.822000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20299.934000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20363.984000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20250.533000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20356.205000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20313.014000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20210.005000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20164.385000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20377.627000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20307.673000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20242.446000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20355.825000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20328.416000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20301.259000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,20216.839000
