library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27135.597000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27018.249000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26971.415000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26993.256000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26971.683000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26997.229000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26853.956000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26958.872000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27012.430000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27019.847000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26955.906000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27045.796000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27043.856000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27059.799000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26907.979000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26954.719000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26910.811000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27155.468000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27056.502000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26971.470000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26939.402000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26946.784000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26853.902000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26987.391000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26908.744000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26927.331000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26905.081000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26998.072000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26944.343000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,27114.647000
