library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1439.181000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1414.773000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1425.483000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1422.116000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1420.140000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1424.617000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1428.701000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1418.083000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1408.951000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1413.342000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1415.553000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1411.318000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1407.523000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1410.079000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1405.449000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1396.057000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1412.975000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1413.710000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1409.649000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1435.806000
