library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37403.855000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37369.897000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37119.525000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37333.496000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37429.550000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37562.415000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37706.071000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37259.583000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37298.682000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37297.001000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37580.977000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37465.566000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37252.823000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37450.896000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37415.308000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37506.165000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37347.518000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37153.636000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37250.583000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37445.347000
