library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1301.784000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1304.200000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1304.371000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1308.318000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1305.415000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1306.572000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1305.515000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1304.806000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1303.400000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1304.241000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1305.970000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1304.187000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1308.629000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1300.447000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1300.825000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1308.235000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1299.067000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1300.705000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1313.581000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1306.806000
