library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8272.473000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,9020.881000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8470.616000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,9114.165000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8936.136000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8853.543000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,9547.871000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8435.807000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8521.115000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8615.453000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8615.489000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8984.638000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8810.900000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8322.321000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8497.762000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8290.817000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8875.067000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8166.718000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8623.571000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,9277.045000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8228.225000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,9007.513000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8622.438000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8845.083000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,9135.862000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8934.350000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8808.174000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,9367.737000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8511.141000
spla,coPapersDBLP.mtx,540486,30491458,1,540515,540515,8888.605000
