library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26895.115000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26863.182000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26847.888000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26750.225000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26815.314000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26904.080000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26918.998000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26698.500000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26855.587000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26851.368000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26832.385000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26701.631000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26770.496000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26794.088000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26750.233000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26700.016000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26684.975000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26698.644000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26683.295000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26688.907000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26709.825000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26773.678000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26828.567000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26807.479000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26795.380000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26878.730000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26795.778000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26769.193000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26889.074000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,26904.364000
