library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1410.350000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1383.681000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1389.170000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1395.521000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1389.087000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1378.946000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1386.155000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1387.487000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1394.788000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1394.515000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1391.088000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1392.174000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1411.461000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1400.774000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1412.821000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1399.840000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1398.505000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1394.955000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1404.747000
spla,amazon0601.mtx,403394,4886816,1,403387,403387,1413.733000
