library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37622.963000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37832.949000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37745.836000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37739.702000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37772.013000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37854.799000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37813.874000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37852.505000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37334.335000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37572.338000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37447.366000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37430.326000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37672.200000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37610.147000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37810.414000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37574.331000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37553.160000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37779.133000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37756.357000
spla,cit-Patents.mtx,3774768,33037894,1,3771141,3771141,37686.696000
