library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1340.767000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1323.948000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1328.828000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1386.641000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1331.759000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1325.945000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1316.766000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1391.300000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1322.601000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1323.808000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1327.635000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1319.595000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1327.884000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1316.096000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1328.703000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1315.962000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1321.012000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1316.142000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1320.145000
spla,citationCiteseer.mtx,268495,2313294,1,268494,268494,1313.817000
