library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8311.371000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8284.214000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8245.915000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8232.138000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8259.897000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8265.006000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8329.509000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8578.123000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8301.483000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8328.721000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8373.281000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8252.909000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8374.813000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8281.764000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8271.571000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8280.241000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8329.309000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8300.016000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8249.882000
spla,coPapersDBLP.mtx,540486,30491458,1,540485,540485,8358.400000
