library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9438.182000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9340.238000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9397.694000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9385.409000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9379.920000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9322.789000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9389.557000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9364.348000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9404.043000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9389.253000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9343.997000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9337.458000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9322.360000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9339.728000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9362.533000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9327.833000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9325.704000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9329.202000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9322.635000
spla,in-2004.mtx,1382908,27182946,1,1382774,1382774,9388.008000
